No.,x(m),y(m),z(m),U(m/s),V(m/s),W(m/s),u_rms(m/s),v_rms(m/s),w_rms(m/s),k(m2/s2)
1,-0.06,0,0.01,0.208,-0.088,-0.667,0.878,0.478,0.907,0.911
2,-0.06,0,0.04,1.267,-0.046,-0.621,0.623,0.532,0.582,0.505
3,-0.06,0,0.08,1.409,-0.042,-0.291,0.603,0.579,0.62,0.542
4,-0.06,0,0.12,1.701,0.022,0.328,0.603,0.621,0.569,0.537
5,-0.06,0,0.14,2.067,0.078,0.837,0.604,0.673,0.533,0.551
6,-0.06,0,0.16,3.044,0.081,1.341,0.706,0.664,0.532,0.611
7,-0.06,0,0.17,3.654,0.068,1.312,0.781,0.673,0.522,0.668
8,-0.06,0,0.19,4.539,0.034,0.906,0.843,0.658,0.513,0.703
9,-0.06,0,0.22,4.962,-0.009,0.442,0.849,0.617,0.509,0.68
10,-0.06,0,0.28,5.351,-0.021,0.104,0.809,0.607,0.513,0.643
11,-0.04,0,0.17,4.281,0.113,2.58,0.862,0.704,0.699,0.864
12,-0.04,0,0.19,4.937,0.019,1.091,0.834,0.633,0.554,0.702
13,-0.04,0,0.22,5.138,-0.006,0.418,0.827,0.623,0.522,0.672
14,-0.04,0,0.28,5.402,-0.045,0.012,0.783,0.58,0.525,0.613
15,-0.02,0,0.17,1.681,-0.109,0.271,2.309,0.955,0.814,3.453
16,-0.02,0,0.19,5.568,0.014,0.834,0.897,0.621,0.573,0.759
17,-0.02,0,0.22,5.268,-0.009,0.298,0.813,0.629,0.525,0.666
18,-0.02,0,0.28,5.416,-0.048,-0.015,0.785,0.594,0.527,0.623
19,0,0,0.17,1.25,-0.122,-0.186,1.972,1.087,1.061,3.098
20,0,0,0.19,5.461,-0.024,0.221,1.148,0.693,0.518,1.033
21,0,0,0.22,5.307,-0.011,0.144,0.803,0.633,0.523,0.66
22,0,0,0.28,5.402,-0.041,-0.047,0.771,0.605,0.527,0.619
23,0.04,0,0.17,2.743,0.007,-0.33,1.689,1.254,0.873,2.594
24,0.04,0,0.19,4.824,-0.022,-0.411,1.303,0.842,0.588,1.376
25,0.04,0,0.22,5.212,-0.012,-0.139,0.786,0.655,0.53,0.664
26,0.04,0,0.28,5.504,-0.039,-0.139,0.789,0.582,0.529,0.621
27,0.06,0,0.01,-0.641,-0.077,0.318,0.624,0.753,0.409,0.562
28,0.06,0,0.04,-0.576,-0.094,0.374,0.606,0.776,0.517,0.618
29,0.06,0,0.08,-0.522,-0.06,0.55,0.582,0.717,0.569,0.588
30,0.06,0,0.12,-0.345,-0.028,0.629,0.569,0.65,0.56,0.53
31,0.06,0,0.14,-0.055,-0.006,0.547,0.588,0.62,0.521,0.501
32,0.06,0,0.16,2.273,0,-0.347,1.281,1.027,0.828,1.691
33,0.06,0,0.17,3.487,0.024,-0.505,1.497,1.168,0.811,2.131
34,0.06,0,0.19,4.689,-0.007,-0.485,1.249,0.88,0.612,1.354
35,0.06,0,0.22,5.213,-0.021,-0.26,0.831,0.642,0.533,0.693
36,0.06,0,0.28,5.463,-0.038,-0.167,0.77,0.585,0.526,0.606
37,0.1,0,0.01,-0.707,-0.164,0.354,0.811,1.058,0.502,1.015
38,0.1,0,0.04,-0.739,-0.159,0.35,0.749,0.999,0.762,1.07
39,0.1,0,0.08,-0.568,-0.127,0.311,0.788,1.006,0.836,1.166
40,0.1,0,0.12,-0.053,-0.099,0.147,0.834,1.063,0.923,1.339
41,0.1,0,0.14,0.748,-0.059,-0.232,0.993,1.042,1.03,1.566
42,0.1,0,0.16,3.018,-0.029,-0.781,1.409,1.031,0.924,1.951
43,0.1,0,0.17,3.768,0,-0.763,1.386,1.013,0.798,1.792
44,0.1,0,0.19,4.624,-0.009,-0.546,1.115,0.849,0.619,1.174
45,0.1,0,0.22,5.113,-0.034,-0.29,0.825,0.653,0.539,0.699
46,0.1,0,0.28,5.369,-0.037,-0.173,0.778,0.57,0.539,0.61
47,0.16,0,0.01,0.225,-0.056,0.191,0.928,1.066,0.516,1.132
48,0.16,0,0.04,0.463,-0.032,0.121,0.962,1.173,0.811,1.48
49,0.16,0,0.08,0.766,-0.055,-0.067,1.025,1.302,1.002,1.875
50,0.16,0,0.12,1.441,-0.025,-0.39,1.046,1.256,1.102,1.943
51,0.16,0,0.14,2.226,-0.01,-0.582,1.151,1.124,1.089,1.887
52,0.16,0,0.16,3.264,-0.02,-0.696,1.24,0.999,0.892,1.666
53,0.16,0,0.17,3.805,-0.019,-0.647,1.227,0.939,0.784,1.501
54,0.16,0,0.19,4.549,-0.015,-0.509,1.013,0.796,0.632,1.03
55,0.16,0,0.22,4.927,-0.03,-0.319,0.847,0.661,0.564,0.736
56,0.16,0,0.28,5.394,-0.057,-0.172,0.795,0.567,0.558,0.632
57,0.26,0,0.01,1.402,0.001,0.045,0.839,0.885,0.474,0.856
58,0.26,0,0.04,1.841,0.008,-0.066,0.901,1.085,0.734,1.264
59,0.26,0,0.08,2.363,0.009,-0.226,0.944,1.159,0.886,1.51
60,0.26,0,0.12,2.873,0.002,-0.426,0.998,1.038,0.935,1.474
61,0.26,0,0.14,3.331,0.004,-0.429,1.069,0.957,0.876,1.413
62,0.26,0,0.16,3.844,-0.005,-0.423,1.054,0.862,0.77,1.223
63,0.26,0,0.17,4.08,0,-0.4,1.044,0.833,0.721,1.152
64,0.26,0,0.19,4.556,-0.012,-0.301,0.968,0.742,0.634,0.945
65,0.26,0,0.22,4.876,-0.023,-0.254,0.832,0.645,0.567,0.715
66,0.26,0,0.28,5.343,-0.042,-0.177,0.771,0.556,0.545,0.6
67,-0.06,0,0.01,0.21,-0.079,-0.764,0.882,0.496,0.933,0.947
68,-0.06,-0.02,0.01,0.418,-0.784,-0.603,0.9,0.59,0.95,1.03
69,-0.06,-0.04,0.01,0.994,-1.583,-0.238,0.994,0.732,1.086,1.352
70,-0.06,-0.05,0.01,1.487,-1.669,0.057,1.017,0.779,1.068,1.391
71,-0.06,-0.07,0.01,2.135,-1.526,0.213,1.069,0.778,0.723,1.135
72,-0.06,-0.09,0.01,2.72,-1.267,0.124,0.954,0.773,0.436,0.849
73,-0.06,-0.12,0.01,3.131,-0.804,0.048,0.727,0.669,0.28,0.527
74,-0.06,-0.16,0.01,3.298,-0.522,-0.006,0.683,0.575,0.253,0.431
75,-0.04,-0.05,0.01,2.786,-2.893,1.571,0.987,0.917,0.812,1.237
76,-0.04,-0.07,0.01,2.986,-1.628,0.253,0.918,0.855,1.015,1.302
77,-0.04,-0.09,0.01,2.987,-1.299,-0.08,0.947,0.789,0.662,0.979
78,-0.04,-0.12,0.01,3.228,-0.909,0.071,0.777,0.721,0.385,0.636
79,-0.04,-0.16,0.01,3.358,-0.515,0.003,0.657,0.619,0.252,0.439
80,-0.02,-0.05,0.01,0.653,-0.055,0.404,1.461,0.624,0.822,1.6
81,-0.02,-0.07,0.01,3.738,-1.146,0.567,0.971,0.822,0.9,1.214
82,-0.02,-0.09,0.01,3.386,-1.186,0.07,0.882,0.786,0.749,0.978
83,-0.02,-0.12,0.01,3.398,-0.873,0.072,0.778,0.799,0.394,0.699
84,-0.02,-0.16,0.01,3.481,-0.531,0.011,0.669,0.646,0.273,0.47
85,0,-0.05,0.01,0.829,0.268,-0.024,1.561,0.781,0.716,1.78
86,0,-0.07,0.01,3.389,-0.36,0.394,1.408,0.59,0.751,1.447
87,0,-0.09,0.01,3.621,-0.849,0.1,0.867,0.693,0.683,0.849
88,0,-0.12,0.01,3.507,-0.817,0.053,0.77,0.798,0.429,0.707
89,0,-0.16,0.01,3.564,-0.493,0.01,0.657,0.664,0.277,0.475
90,0.04,-0.05,0.01,1.471,0.012,-0.183,1.789,0.846,0.643,2.165
91,0.04,-0.07,0.01,2.997,0.114,-0.01,1.469,0.676,0.652,1.52
92,0.04,-0.09,0.01,3.597,-0.284,0.02,0.976,0.533,0.585,0.789
93,0.04,-0.12,0.01,3.69,-0.492,-0.016,0.734,0.707,0.417,0.606
94,0.04,-0.16,0.01,3.63,-0.362,0.007,0.679,0.703,0.287,0.519
95,0.06,0,0.01,-0.662,-0.134,0.102,0.64,0.782,0.42,0.599
96,0.06,-0.02,0.01,-0.485,-0.37,0.07,0.696,0.765,0.388,0.61
97,0.06,-0.04,0.01,0.59,-0.012,-0.055,1.189,0.869,0.522,1.221
98,0.06,-0.05,0.01,1.784,0.136,-0.126,1.689,0.882,0.619,2.007
99,0.06,-0.07,0.01,2.939,0.156,-0.211,1.433,0.738,0.641,1.505
100,0.06,-0.09,0.01,3.484,-0.126,-0.162,1.05,0.564,0.547,0.86
101,0.06,-0.12,0.01,3.676,-0.363,-0.045,0.744,0.666,0.41,0.583
102,0.06,-0.16,0.01,3.639,-0.358,0.005,0.654,0.718,0.292,0.514
103,0.1,0,0.01,-0.683,-0.022,0.081,0.823,1.03,0.546,1.018
104,0.1,-0.02,0.01,-0.225,0.152,-0.016,1.169,1.117,0.568,1.468
105,0.1,-0.04,0.01,1.078,0.431,-0.111,1.655,1.026,0.581,2.065
106,0.1,-0.05,0.01,1.742,0.392,-0.16,1.748,0.93,0.596,2.138
107,0.1,-0.07,0.01,2.822,0.291,-0.143,1.407,0.755,0.556,1.429
108,0.1,-0.09,0.01,3.263,0.075,-0.107,1.12,0.622,0.511,0.951
109,0.1,-0.12,0.01,3.591,-0.144,-0.064,0.813,0.605,0.385,0.588
110,0.1,-0.16,0.01,3.636,-0.208,-0.028,0.687,0.696,0.28,0.517
111,0.16,0,0.01,0.223,-0.086,-0.087,0.904,1.05,0.526,1.098
112,0.16,-0.02,0.01,0.548,0.148,-0.134,1.14,1.056,0.549,1.358
113,0.16,-0.04,0.01,1.243,0.334,-0.181,1.408,0.952,0.551,1.596
114,0.16,-0.05,0.01,1.56,0.326,-0.188,1.489,0.933,0.542,1.691
115,0.16,-0.07,0.01,2.312,0.264,-0.165,1.49,0.798,0.531,1.569
116,0.16,-0.09,0.01,2.805,0.156,-0.127,1.229,0.676,0.47,1.094
117,0.16,-0.12,0.01,3.274,-0.005,-0.084,0.974,0.641,0.373,0.749
118,0.16,-0.16,0.01,3.546,-0.106,-0.062,0.74,0.661,0.281,0.532
119,0.26,0,0.01,1.371,-0.022,-0.196,0.836,0.869,0.508,0.856
120,0.26,-0.02,0.01,1.462,0.014,-0.203,0.902,0.854,0.5,0.896
121,0.26,-0.04,0.01,1.679,0.035,-0.201,0.982,0.872,0.502,0.988
122,0.26,-0.05,0.01,1.804,0.069,-0.185,1.027,0.807,0.483,0.97
123,0.26,-0.07,0.01,2.114,0.03,-0.16,1.089,0.761,0.469,0.993
124,0.26,-0.09,0.01,2.465,0.02,-0.128,1.113,0.744,0.429,0.988
125,0.26,-0.12,0.01,2.874,-0.039,-0.086,1.009,0.689,0.37,0.815
126,0.26,-0.16,0.01,3.248,-0.018,-0.061,0.875,0.633,0.304,0.629
127,-0.06,0,0.1,1.514,0.091,0.061,0.601,0.624,0.537,0.519
128,-0.06,-0.02,0.1,1.595,-0.718,0.185,0.594,0.602,0.543,0.505
129,-0.06,-0.04,0.1,2.345,-1.418,0.296,0.653,0.658,0.531,0.571
130,-0.06,-0.05,0.1,2.921,-1.438,0.289,0.729,0.658,0.515,0.615
131,-0.06,-0.07,0.1,3.666,-1.112,0.244,0.778,0.648,0.493,0.634
132,-0.06,-0.09,0.1,4.009,-0.781,0.185,0.786,0.638,0.49,0.632
133,-0.06,-0.12,0.1,4.191,-0.494,0.123,0.774,0.602,0.483,0.597
134,-0.06,-0.16,0.1,4.389,-0.286,0.11,0.764,0.598,0.478,0.585
135,-0.04,-0.05,0.1,3.629,-2.841,0.196,0.854,0.874,0.736,1.017
136,-0.04,-0.07,0.1,4.118,-1.428,0.194,0.781,0.752,0.52,0.723
137,-0.04,-0.09,0.1,4.258,-0.871,0.168,0.777,0.66,0.501,0.645
138,-0.04,-0.12,0.1,4.35,-0.517,0.096,0.775,0.601,0.49,0.601
139,-0.04,-0.16,0.1,4.417,-0.294,0.091,0.782,0.608,0.491,0.611
140,-0.02,-0.05,0.1,0.504,-0.245,0.278,2.02,0.748,0.836,2.669
141,-0.02,-0.07,0.1,4.815,-1.233,0.086,0.974,0.836,0.596,1.001
142,-0.02,-0.09,0.1,4.636,-0.763,0.137,0.772,0.69,0.506,0.664
143,-0.02,-0.12,0.1,4.419,-0.467,0.088,0.761,0.617,0.489,0.599
144,-0.02,-0.16,0.1,4.466,-0.278,0.089,0.782,0.604,0.485,0.606
145,0,-0.05,0.1,0.003,-0.045,0.078,1.915,0.929,0.897,2.667
146,0,-0.07,0.1,4.447,-0.491,0.092,1.729,0.694,0.739,2.009
147,0,-0.09,0.1,4.848,-0.552,0.068,0.833,0.732,0.519,0.75
148,0,-0.12,0.1,4.604,-0.343,0.079,0.766,0.635,0.494,0.617
149,0,-0.16,0.1,4.544,-0.236,0.083,0.765,0.613,0.494,0.603
150,0.04,-0.05,0.1,0.883,-0.147,0.134,1.968,1.104,1.024,3.07
151,0.04,-0.07,0.1,3.095,0.171,0.009,2.175,0.951,0.86,3.187
152,0.04,-0.09,0.1,4.644,-0.068,0.019,1.189,0.699,0.652,1.164
153,0.04,-0.12,0.1,4.728,-0.125,-0.007,0.76,0.64,0.488,0.613
154,0.04,-0.16,0.1,4.558,-0.138,-0.005,0.733,0.6,0.483,0.565
155,0.06,0,0.1,-0.466,-0.055,0.37,0.594,0.703,0.544,0.571
156,0.06,-0.02,0.1,-0.347,-0.289,0.446,0.63,0.708,0.585,0.62
157,0.06,-0.04,0.1,0.736,0.021,0.378,1.304,0.954,0.794,1.62
158,0.06,-0.05,0.1,1.705,0.086,0.184,1.842,1.021,0.946,2.665
159,0.06,-0.07,0.1,3.315,0.25,-0.031,1.944,0.967,0.854,2.722
160,0.06,-0.09,0.1,4.442,0.144,-0.044,1.24,0.737,0.634,1.241
161,0.06,-0.12,0.1,4.698,-0.009,-0.011,0.775,0.626,0.488,0.615
162,0.06,-0.16,0.1,4.578,-0.064,-0.017,0.752,0.602,0.478,0.578
163,0.1,0,0.1,-0.384,-0.182,-0.128,0.787,1.067,0.819,1.214
164,0.1,-0.02,0.1,0.081,0.22,-0.132,1.057,1.141,0.86,1.579
165,0.1,-0.04,0.1,1.595,0.523,-0.117,1.689,1.083,0.951,2.465
166,0.1,-0.05,0.1,2.278,0.559,-0.135,1.851,0.984,0.965,2.663
167,0.1,-0.07,0.1,3.373,0.507,-0.128,1.804,0.904,0.82,2.372
168,0.1,-0.09,0.1,4.166,0.364,-0.097,1.322,0.736,0.664,1.365
169,0.1,-0.12,0.1,4.625,0.168,-0.052,0.828,0.618,0.495,0.656
170,0.1,-0.16,0.1,4.631,0.044,-0.031,0.734,0.582,0.484,0.556
171,0.16,0,0.1,0.997,-0.057,-0.312,1.02,1.287,0.946,1.796
172,0.16,-0.02,0.1,1.402,0.307,-0.343,1.244,1.305,0.955,2.081
173,0.16,-0.04,0.1,2.208,0.514,-0.305,1.533,1.126,0.923,2.235
174,0.16,-0.05,0.1,2.663,0.53,-0.263,1.622,1.022,0.903,2.245
175,0.16,-0.07,0.1,3.387,0.523,-0.184,1.473,0.853,0.759,1.737
176,0.16,-0.09,0.1,3.941,0.41,-0.153,1.266,0.719,0.652,1.272
177,0.16,-0.12,0.1,4.446,0.266,-0.083,0.903,0.62,0.517,0.734
178,0.16,-0.16,0.1,4.567,0.111,-0.081,0.751,0.575,0.494,0.569
179,0.26,0,0.1,2.533,0.036,-0.311,0.96,1.097,0.83,1.407
180,0.26,-0.02,0.1,2.666,0.167,-0.295,1.055,1.092,0.788,1.463
181,0.26,-0.04,0.1,2.942,0.208,-0.243,1.151,0.991,0.752,1.436
182,0.26,-0.05,0.1,3.168,0.278,-0.243,1.193,0.925,0.748,1.419
183,0.26,-0.07,0.1,3.467,0.294,-0.162,1.195,0.835,0.687,1.299
184,0.26,-0.09,0.1,3.718,0.245,-0.131,1.115,0.748,0.604,1.084
185,0.26,-0.12,0.1,4.105,0.226,-0.09,0.934,0.632,0.521,0.772
186,0.26,-0.16,0.1,4.325,0.122,-0.071,0.77,0.562,0.494,0.576
