z[m],U[m/s],1/4 power,<u'2>[m2/s2],<v'2>[m2/s2],<w'2>[m2/s2],k[m2/s2]
0.005,2.865,2.085,0.428,0.237,0.087,0.376
0.01,3.059,2.479,0.495,0.235,0.09,0.41
0.02,3.28,2.948,0.538,0.222,0.095,0.428
0.03,3.427,3.263,0.634,0.236,0.101,0.486
0.05,3.784,3.707,0.724,0.245,0.104,0.537
0.1,4.381,4.409,0.83,0.308,0.109,0.624
0.2,5.133,5.243,0.721,0.283,0.108,0.556
0.3,5.724,5.802,0.657,0.265,0.102,0.512
0.4,6.191,6.235,0.533,0.27,0.097,0.45
0.6,7.004,6.9,0.476,0.188,0.092,0.378
0.8,7.433,7.415,0.34,0.122,0.086,0.274
1,7.84,7.84,0.085,0.044,0.082,0.106
