No.,x[mm],y[mm],z[mm],U[m/s],V[m/s],W[m/s],<u'2>[m2/s2],<v'2>[m2/s2],<w'2>[m2/s2],k[m2/s2]
1,-75,0,350,6.074,-0.263,0.934,0.516,0.254,0.409,0.59
2,-75,0,300,5.662,-0.142,1.251,0.642,0.247,0.455,0.672
3,-75,0,275,5.235,-0.053,1.463,0.782,0.227,0.474,0.742
4,-75,0,250,4.857,-0.007,1.728,0.781,0.203,0.429,0.707
5,-75,0,225,4.054,0.039,1.864,0.886,0.18,0.399,0.733
6,-75,0,210,3.709,0.046,1.829,0.784,0.196,0.379,0.68
7,-75,0,200,3.385,0.051,1.691,0.707,0.242,0.375,0.662
8,-75,0,175,2.676,0.039,1.21,0.625,0.305,0.361,0.646
9,-75,0,150,2.245,0.044,0.609,0.521,0.37,0.302,0.597
10,-75,0,100,1.604,0.042,-0.225,0.399,0.346,0.213,0.479
11,-75,0,50,0.964,0.028,-0.69,0.408,0.217,0.209,0.417
12,-75,0,12.5,-1.09,0.03,-0.459,0.648,0.322,0.232,0.601
13,-75,0,5,-1.762,0.022,-0.112,0.838,0.524,0.158,0.76
14,-25,0,350,5.861,-0.002,0.475,0.571,0.19,0.258,0.51
15,-25,0,300,5.506,-0.027,0.842,0.638,0.158,0.32,0.558
16,-25,0,275,5.154,0.014,1.176,0.81,0.14,0.357,0.654
17,-25,0,250,4.687,0.035,1.709,0.997,0.129,0.335,0.731
18,-25,0,225,3.754,0.046,2.531,1.027,0.133,0.352,0.756
19,-25,0,210,2.359,0.055,3.508,0.652,0.343,0.508,0.752
20,0,0,350,6.266,-0.058,1.008,0.505,0.249,0.433,0.594
21,0,0,300,5.938,0.048,1.549,0.69,0.226,0.551,0.734
22,0,0,275,5.757,0.053,1.945,0.83,0.182,0.587,0.8
23,0,0,250,5.53,0.047,2.494,0.921,0.187,0.636,0.872
24,0,0,225,4.863,0.048,2.474,2.279,0.612,0.989,1.94
25,0,0,210,-0.241,0.015,0.297,0.894,0.641,0.466,1.001
26,25,0,350,5.973,-0.204,0.464,0.539,0.209,0.257,0.503
27,25,0,300,5.773,-0.044,0.825,0.652,0.195,0.345,0.596
28,25,0,275,5.615,0.057,1.106,0.769,0.159,0.415,0.672
29,25,0,250,5.362,0.073,1.366,1.305,0.261,0.52,1.043
30,25,0,225,1.838,0.084,0.443,3.971,0.681,0.678,2.665
31,25,0,210,-0.659,0.078,0.889,0.593,0.566,0.923,1.041
32,50,0,350,6.204,-0.282,0.37,0.567,0.199,0.231,0.499
33,50,0,300,6.015,-0.264,0.734,0.613,0.187,0.343,0.572
34,50,0,275,5.923,-0.27,0.978,0.811,0.209,0.447,0.734
35,50,0,250,5.21,-0.24,0.95,2.666,0.463,0.552,1.841
36,50,0,225,1.291,-0.18,0.51,2.302,0.811,0.877,1.995
37,50,0,210,-0.024,-0.177,0.804,0.612,0.694,0.728,1.017
38,50,0,200,-0.315,-0.138,1.004,0.431,0.621,0.62,0.836
39,50,0,175,-0.39,-0.025,1.11,0.364,0.544,0.541,0.725
40,50,0,150,-0.456,-0.025,1.006,0.408,0.601,0.533,0.771
41,50,0,100,-0.548,0.046,0.727,0.443,0.629,0.424,0.748
42,50,0,50,-0.72,0.063,0.389,0.519,0.741,0.326,0.793
43,50,0,12.5,-0.797,0.082,0.212,0.614,0.735,0.173,0.761
44,50,0,5,-0.444,0.098,0.099,0.671,0.876,0.094,0.821
45,100,0,350,6.493,-0.172,0.739,0.522,0.067,0.368,0.479
46,100,0,300,6.394,-0.177,1.045,0.629,0.284,0.579,0.746
47,100,0,275,6.096,-0.137,1.163,1.497,0.399,0.822,1.359
48,100,0,250,4.236,-0.142,0.848,3.725,0.865,1.121,2.856
49,100,0,225,1.343,-0.154,0.735,2.177,1.249,1.357,2.392
50,100,0,210,0.327,-0.11,0.921,1.302,1.164,1.43,1.948
51,100,0,200,-0.191,-0.031,0.985,0.954,1.155,1.368,1.739
52,100,0,175,-0.8,-0.023,1.187,0.918,1.069,1.364,1.676
53,100,0,150,-1.065,0.033,1.174,0.877,0.809,1.158,1.422
54,100,0,100,-1.336,0.074,0.95,0.931,0.832,0.919,1.341
55,100,0,50,-1.515,0.045,0.676,0.979,0.813,0.656,1.224
56,100,0,12.5,-1.654,0.059,0.402,1.139,1.017,0.23,1.193
57,100,0,5,-1.64,0.067,0.321,1.207,1.1,0.123,1.215
58,200,0,350,6.368,0.044,0.311,0.549,0.254,0.269,0.536
59,200,0,300,5.998,0.049,0.285,1.147,0.408,0.492,1.024
60,200,0,275,5.177,0.023,0.142,2.367,0.762,0.76,1.945
61,200,0,250,3.442,-0.035,-0.01,3.113,1.289,1.075,2.739
62,200,0,225,1.383,-0.064,-0.028,2.368,1.825,1.194,2.694
63,200,0,210,0.437,-0.012,0.063,1.736,1.825,1.297,2.429
64,200,0,200,-0.004,0.043,0.091,1.407,1.664,1.388,2.23
65,200,0,175,-0.76,0.078,0.346,1.266,1.548,1.457,2.136
66,200,0,150,-1.257,0.138,0.471,1.125,1.611,1.517,2.127
67,200,0,100,-1.624,0.152,0.782,1.13,1.495,1.515,2.07
68,200,0,50,-1.677,0.164,0.688,1.023,1.417,1.048,1.744
69,200,0,12.5,-1.901,0.169,0.392,1.113,1.606,0.394,1.557
70,200,0,5,-2.085,0.123,0.325,1.068,1.525,0.234,1.414
71,300,0,350,6.106,0.009,0.066,0.593,0.487,0.24,0.66
72,300,0,300,5.496,0.043,-0.12,1.24,0.688,0.48,1.204
73,300,0,275,4.533,0.013,-0.292,2.026,0.955,0.707,1.844
74,300,0,250,3.241,0.007,-0.31,2.497,1.533,1.005,2.518
75,300,0,225,1.881,0.02,-0.361,2.087,1.997,1.205,2.645
76,300,0,210,1.246,0.084,-0.321,1.867,2.061,1.258,2.593
77,300,0,200,0.848,0.158,-0.28,1.562,2.34,1.356,2.629
78,300,0,175,0.129,0.202,-0.151,1.312,2.509,1.405,2.613
79,300,0,150,-0.202,0.315,0.075,1.299,2.499,1.564,2.681
80,300,0,100,-0.711,0.494,0.361,1.201,2.603,1.421,2.613
81,300,0,50,-0.895,0.592,0.441,1.148,2.257,1.036,2.221
82,300,0,12.5,-1.167,0.628,0.328,1.115,2.082,0.443,1.82
83,300,0,5,-1.343,0.677,0.258,1.164,1.987,0.268,1.71
84,400,0,350,5.883,0.021,-0.004,0.644,0.532,0.237,0.707
85,400,0,300,5.107,0.217,-0.202,1.244,0.729,0.457,1.215
86,400,0,275,4.393,0.138,-0.314,1.884,1.017,0.712,1.807
87,400,0,250,3.39,0.208,-0.365,2.055,1.363,0.925,2.172
88,400,0,225,2.44,0.142,-0.375,1.879,1.81,1.101,2.395
89,400,0,210,1.92,0.256,-0.373,1.642,1.837,1.179,2.329
90,400,0,200,1.601,0.305,-0.26,1.534,1.977,1.287,2.399
91,400,0,175,1.081,0.356,-0.207,1.279,2.199,1.434,2.456
